team1,score1,team2,score2
Chaminade,14.0,Bradley,6.0
Mundelein,19.0,Bradley,11.0
Chaminade,10.0,Oakville,9.0
STC,6.0,Maine South,5.0
Stevenson,9.0,Evanston,6.0
Stevenson,14.0,Fenwick,6.0
Evanston,14.0,Fenwick,8.0
Andrew,16.0,Bremen,1.0
Barrington,23.0,Lake Forest,11.0
Brother Rice,27.0,Mt Carmel,14.0
Conant,11.0,McHenry,6.0
Curie,23.0,Chicago Ag,5.0
Jones-Payton,14.0,St Ignatius,9.0
Kennedy,14.0,Little Village,5.0
Lane,22.0,Amundsen,6.0
Lindblom,8.0,Northside,5.0
Loyola,9.0,St Patrick,4.0
LWC,22.0,Argo,12.0
Maine East,7.0,Morton,6.0
Meadows,9.0,HP,8.0
St Ignatius,13.0,Jones-Payton,2.0
Taft,15.0,Prosser,2.0
Whitney Young,15.0,Solorio,6.0
Amundsen,15.0,Latin,5.0
Argo,16.0,Leyden,6.0
Evanston,15.0,Maine South,12.0
Fenwick,16.0,Loyola,8.0
GBN,12.0,Deerfield,6.0
Kennedy,21.0,Chicago Ag,3.0
Libertyville,14.0,Lake Forest,4.0
LWE,14.0,Lockport,10.0
LWW,23.0,LWC,8.0
Maine West,15.0,VH,8.0
Mundelein,19.0,Warren,12.0
New Trier,15.0,GBS,4.0
Niles West,14.0,HP,5.0
Sandburg,16.0,H-F,6.0
STC,9.0,Metea,6.0
Von,18.0,Westinghouse,7.0
Whitney Young,10.0,Lane,8.0
York,14.0,Fremd,4.0
Amundsen,15.0,Prosser,1.0
Andrew,16.0,Shepard,4.0
Brother Rice,19.0,St Ignatius,7.0
BG,17.0,Meadows,10.0
Brooks,16.0,Chicago Ag,11.0
Conant,16.0,Hoffman,3.0
Curie,25.0,Lindblom,8.0
Fenwick,16.0,Mt Carmel,6.0
Fremd,11.0,Schaumburg,10.0
Hersey,12.0,Wheeling,3.0
Kenwood,12.0,Solorio,8.0
Oak Park,12.0,HC,8.0
Palatine,12.0,Barrington,8.0
Prospect,14.0,Elk Grove,12.0
R-B,7.0,Morton,6.0
St Patrick,18.0,Latin,5.0
Amundsen,11.0,Northside,4.0
Curie,10.0,BG,7.0
Evanston,9.0,GBS,5.0
H-F,16.0,Bremen,10.0
LWW,16.0,Sandburg,13.0
Mundelein,23.0,Lake Forest,5.0
Maine South,12.0,GBN,3.0
NC,14.0,Bradley,3.0
NN,16.0,Metea,5.0
Niles West,9.0,Loyola,7.0
Schaumburg,16.0,Elk Grove,2.0
Stevenson,27.0,Warren,8.0
Taft,15.0,Senn,11.0
Solorio,15.0,Prosser,1.0
VH,15.0,HP,3.0
Waubonsie,17.0,Neuqua,13.0
Westinghouse,15.0,Leyden,13.0
Barrington,13.0,Hersey,6.0
Kenwood,23.0,Little Village,1.0
McHenry,10.0,Hoffman,9.0
Schaumburg,6.0,HC,5.0
GBN,4.0,New Trier B,1.0
Prospect,13.0,Conant,12.0
New Trier B,10.0,Jones-Payton,4.0
Brother Rice,21.0,Conant,12.0
GBN,11.0,Jones-Payton,4.0
Brother Rice,22.0,Prospect,7.0
Lyons,8.0,LWE,6.0
York,15.0,Neuqua,8.0
Palatine,12.0,Oak Park,7.0
St Rita,14.0,St Ignatius,6.0
New Trier,13.0,Chaminade,2.0
Lindbergh,8.0,Fenwick,5.0
New Trier,12.0,Parkway Central,1.0
Fenwick,14.0,DeSmet,7.0
STC,7.0,Waubonsie,6.0
Whitney Young,14.0,Sandburg,5.0
NN,17.0,Evanston,6.0
Stevenson,,Maine South,
Whitney Young,11.0,STC,6.0
NN,18.0,Stevenson,8.0
Kenwood,10.0,Kennedy,8.0
Kenwood,12.0,Chicago U,11.0
Kenwood,8.0,Kennedy,7.0
Solorio,15.0,Kenwood,10.0
Lane,16.0,McHenry,2.0
Lane,16.0,Elk Grove,1.0
Lane,16.0,Hoffman,1.0
McHenry,13.0,Lake Forest,2.0
McHenry,16.0,Elk Grove,6.0
Hoffman,20.0,Lake Forest,10.0
Prospect,16.0,Jones-Payton,2.0
GBN,6.0,Conant,1.0
Brother Rice,18.0,New Trier B,4.0
Conant,13.0,Jones-Payton,4.0
Prospect,11.0,New Trier B,7.0
Brother Rice,7.0,GBN,5.0
Fremd,8.0,GBS,6.0
Fremd,14.0,HP,2.0
Fremd,9.0,HC,4.0
GBS,11.0,HP,0.0
GBS,4.0,HC,4.0
HC,11.0,HP,2.0
Libertyville,14.0,VH,7.0
Barrington,14.0,Bradley,8.0
Libertyville,11.0,Barrington,6.0
VH,12.0,Bradley,11.0
Barrington,17.0,VH,7.0
Libertyville,16.0,Bradley,5.0
New Trier,13.0,Lafayette,4.0
SLUH,15.0,Fenwick,7.0
New Trier,10.0,SLUH,9.0
Fenwick,6.0,Parkway West,5.0
Lyons,,St Rita,
York,16.0,Oak Park,4.0
LWE,15.0,St Ignatius,10.0
Palatine,16.0,Neuqua,7.0
Lyons,20.0,St Ignatius,2.0
York,17.0,Palatine,7.0
LWE,12.0,St Rita,2.0
Neuqua,,Oak Park,
Oak Park,,St Ignatius,
Neuqua,10.0,St Rita,7.0
Palatine,16.0,LWE,9.0
York,13.0,Lyons,7.0
Maine South,10.0,Evanston,6.0
Stevenson,12.0,STC,4.0
Evanston,12.0,Waubonsie,10.0
NN,11.0,Whitney Young,8.0
Maine South,14.0,Sandburg,6.0
Stevenson,12.0,Whitney Young,9.0
